Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,55,0.07,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,27.73,123695,0,0,0,1,0,0,1,1,0,1.21,0.49,3.86,0.05,1,1,0,0.52
0,22,0.05,0,1,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,12.2,8905,0,1,0,1,0,0,1,1,0,2.78,0.61,1.22,0.01,1,1,1,1.39
0,43,0.05,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,43908,0,0,0,1,0,0,1,1,0,3.63,0.56,3.06,0.37,0,1,0,1.88
0,42,0.05,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,41603,0,0,0,1,0,0,1,1,0,2.2,0.33,2.43,0.11,1,1,1,1.33
0,36,0.03,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,10.92,119165,0,1,1,1,0,0,1,1,0,3.28,0.19,1.04,0.21,1,1,1,1.17
0,55,0.07,0,1,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23,30488,0,0,0,1,1,0,1,1,0,4.12,0.54,1.53,0.25,1,1,1,2.0
0,54,0.04,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22,7325,0,0,1,0,0,0,1,1,0,2.43,1.11,1.41,0.07,0,1,0,3.96
0,41,0.02,0,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,20.93,10379,0,0,0,1,0,0,1,1,0,4.49,0.68,1.16,0.14,0,1,1,2.29
0,50,0.04,0,1,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,84497,0,0,0,1,0,0,1,1,0,1.34,0.33,2.79,0.05,1,1,1,0.57
0,54,0.04,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,8715,0,1,1,1,0,0,1,1,0,2.18,1.04,1.14,0.01,0,1,1,3.19
0,23,0.04,0,1,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,1,21.83,18896,0,0,0,1,0,0,1,1,0,0.75,0.5,1.74,0.14,0,1,0,3.08
0,27,0.0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,25.65,11302,0,0,0,1,0,0,1,1,0,2.55,0.58,2.9,0.09,0,1,1,1.43
0,55,0.07,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,27.72,124790,0,1,0,1,0,0,1,1,0,1.22,0.48,3.82,0.05,1,1,0,0.52
0,53,0.06,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,20809,0,0,0,1,0,0,1,1,0,0.7,0.61,1.88,0.31,1,1,0,1.48
0,39,0.03,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,11186,0,0,0,1,0,0,1,1,0,2.57,0.57,2.93,0.09,0,1,1,1.45
0,43,0.05,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,1,0,21.67,68586,0,1,0,1,0,0,1,1,0,3.74,0.49,3.15,0.36,0,1,0,1.87
0,44,0.05,0,1,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,18.07,15392,0,0,1,0,0,0,1,1,0,1.68,0.64,3.0,0.01,0,0,0,1.68
0,32,0.03,0,1,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,23.87,23521,0,0,0,1,0,1,1,1,0,0.78,0.85,2.78,0.06,0,1,1,0.42
0,49,0.04,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,170,0,0,1,0,0,0,0,1,0,1.18,1.18,0.0,0.0,0,0,0,1.18
